CategoryID,CategoryNumber,CategoryName
270,4,User Experience
271,5,Pricing
272,3,User Experience
273,2,Customer Service
274,1,Product Quality
275,4,Delivery
276,3,Pricing
277,3,User Experience
278,2,Customer Service
279,1,User Experience
280,3,Product Quality
281,2,Delivery
282,1,Customer Service
283,1,Delivery
284,3,Customer Service
285,4,Delivery
286,2,Delivery
287,1,Product Quality
288,4,Pricing
289,3,Delivery
290,4,Product Quality
291,5,Pricing
292,3,Delivery
293,4,Customer Service
294,1,User Experience
295,2,User Experience
296,2,Delivery
297,3,Pricing
298,4,User Experience
299,2,Product Quality
300,5,User Experience
301,1,Product Quality
302,2,Delivery
303,3,Product Quality
304,3,Product Quality
305,3,Pricing
306,5,User Experience
307,4,User Experience
308,4,Customer Service
309,1,Pricing
310,4,Delivery
311,1,User Experience
312,5,Delivery
313,5,User Experience
314,1,Customer Service
315,4,User Experience
316,3,User Experience
317,3,Delivery
318,2,Pricing
319,2,User Experience
320,1,User Experience
321,5,User Experience
322,5,Customer Service
323,5,User Experience
324,5,Delivery
325,2,Product Quality
326,5,Customer Service
327,1,User Experience
328,5,Customer Service
329,2,Product Quality
330,5,Customer Service
331,5,Pricing
332,5,Product Quality
333,5,Pricing
334,3,Delivery
335,5,Customer Service
336,3,Product Quality
337,2,Product Quality
338,3,Product Quality
339,5,User Experience
340,5,Product Quality
341,3,Customer Service
342,3,Delivery
343,2,Pricing
344,2,Customer Service
345,4,Pricing
346,5,Delivery
347,4,Customer Service
348,4,Customer Service
349,2,Pricing
350,5,Customer Service
351,3,Customer Service
352,2,User Experience
353,4,Pricing
354,3,Pricing
355,2,Customer Service
356,4,Product Quality
357,2,Customer Service
358,5,User Experience
359,2,Pricing
360,5,Pricing
361,4,Product Quality
362,1,Pricing
363,2,Pricing
364,1,Delivery
365,1,Product Quality
366,3,Delivery
367,1,Pricing
368,4,User Experience
369,2,Pricing
370,3,Customer Service
371,3,Delivery
372,4,User Experience
373,5,Delivery
374,2,Delivery
375,1,Product Quality
376,5,Pricing
377,5,Customer Service
378,2,Customer Service
379,3,Delivery
380,3,Product Quality
381,5,User Experience
382,4,User Experience
383,1,Product Quality
384,5,Pricing
385,1,User Experience
386,5,Delivery
387,5,Pricing
388,5,Delivery
389,2,User Experience
390,5,Customer Service
391,2,Pricing
392,5,Delivery
393,4,Pricing
394,5,Product Quality
395,3,Delivery
396,2,Delivery
397,4,Delivery
398,5,Pricing
399,3,Delivery
400,2,Product Quality
401,3,Delivery
402,5,Delivery
403,2,User Experience
404,4,Customer Service
405,1,Pricing
406,2,Customer Service
407,4,Product Quality
408,2,Product Quality
409,5,User Experience
410,2,User Experience
411,2,Delivery
412,4,Pricing
413,2,Pricing
414,1,Customer Service
415,5,Delivery
416,4,Customer Service
417,3,Pricing
418,3,Pricing
419,1,Customer Service
420,2,Customer Service
421,5,Product Quality
422,1,Delivery
423,3,Customer Service
424,1,Delivery
425,1,Delivery
426,3,Pricing
427,1,User Experience
428,4,Customer Service
429,4,User Experience
430,4,Pricing
431,5,Delivery
432,5,User Experience
433,4,Customer Service
434,3,Delivery
435,2,Product Quality
436,5,Delivery
437,1,Pricing
438,5,Product Quality
439,2,Pricing
440,4,Pricing
441,5,Customer Service
442,2,Product Quality
443,1,Pricing
444,4,User Experience
445,3,User Experience
446,3,Customer Service
447,1,Customer Service
448,2,Product Quality
449,4,Product Quality
450,5,Customer Service
451,4,Pricing
452,4,Delivery
453,3,Pricing
454,1,User Experience
455,5,Product Quality
456,4,Product Quality
457,4,Product Quality
458,1,User Experience
459,3,Customer Service
460,4,Customer Service
461,3,User Experience
462,4,Customer Service
463,5,Pricing
464,1,Product Quality
465,4,Product Quality
466,2,Product Quality
467,4,Customer Service
468,4,Delivery
469,2,Delivery
470,2,User Experience
471,2,Delivery
472,5,Delivery
473,1,Product Quality
474,5,Product Quality
475,5,Product Quality
476,4,User Experience
477,2,Product Quality
478,4,Customer Service
479,3,Product Quality
480,5,User Experience
481,3,Pricing
482,4,Customer Service
483,1,Pricing
484,5,Pricing
485,1,Pricing
486,1,Delivery
487,3,Product Quality
488,2,Delivery
489,4,Pricing
490,5,Delivery
491,1,Customer Service
492,1,User Experience
493,3,Delivery
494,3,Pricing
495,2,Pricing
496,1,Customer Service
497,2,Product Quality
498,1,Delivery
499,5,Product Quality
500,5,User Experience
501,2,Product Quality
502,5,Customer Service
503,1,Product Quality
504,4,Product Quality
505,1,User Experience
506,5,User Experience
507,2,Delivery
508,5,Pricing
509,5,Pricing
510,3,User Experience
511,5,User Experience
512,1,User Experience
513,1,Pricing
514,3,User Experience
515,5,Pricing
516,1,Delivery
517,5,Product Quality
518,4,Customer Service
519,5,Delivery
520,3,Pricing
521,5,Delivery
522,4,Product Quality
523,2,Customer Service
524,3,Product Quality
525,5,Pricing
526,3,Pricing
527,5,Product Quality
528,3,Delivery
529,3,Customer Service
530,1,Customer Service
531,5,Customer Service
532,2,User Experience
533,3,Product Quality
534,3,Pricing
535,3,Product Quality
536,2,Delivery
537,5,User Experience
538,5,Customer Service
539,3,Delivery
540,2,Delivery
541,1,Delivery
542,2,Customer Service
543,1,Delivery
544,4,Delivery
545,1,Product Quality
546,2,Pricing
547,4,Delivery
548,5,Product Quality
549,3,Delivery
550,4,Delivery
551,4,Customer Service
552,1,Customer Service
553,4,Delivery
554,2,Product Quality
555,3,Product Quality
556,2,User Experience
557,3,User Experience
558,4,Delivery
559,4,Pricing
560,4,Pricing
561,4,Delivery
562,4,Pricing
563,1,Product Quality
564,2,Pricing
565,4,Customer Service
566,2,Customer Service
567,1,User Experience
568,3,User Experience
569,5,Customer Service
570,2,Delivery
571,3,Customer Service
572,5,Pricing
573,5,Pricing
574,2,Delivery
575,2,Delivery
576,5,Customer Service
577,3,Pricing
578,5,Product Quality
579,5,Customer Service
580,1,User Experience
581,1,User Experience
582,3,Product Quality
583,2,Delivery
584,1,Pricing
585,3,Product Quality
586,5,Delivery
587,5,Pricing
588,5,Customer Service
589,3,Delivery
590,3,Product Quality
591,4,Pricing
592,1,Delivery
593,1,Delivery
594,1,Customer Service
595,5,Delivery
596,5,User Experience
597,5,Pricing
598,3,Delivery
599,5,Product Quality
600,1,Product Quality
601,2,User Experience
602,1,Pricing
603,4,Delivery
604,3,User Experience
605,4,Pricing
606,5,User Experience
607,1,User Experience
608,5,Pricing
609,4,Customer Service
610,3,Product Quality
611,3,Customer Service
612,3,Product Quality
613,2,Customer Service
614,2,Pricing
615,3,User Experience
616,1,User Experience
617,1,Customer Service
618,3,Delivery
619,1,Product Quality
620,3,User Experience
621,4,Customer Service
622,4,Delivery
623,4,Delivery
624,4,User Experience
625,5,Product Quality
626,1,User Experience
627,1,Delivery
628,3,Delivery
629,5,Delivery
630,4,User Experience
631,2,Product Quality
632,2,Pricing
633,3,Customer Service
634,5,Product Quality
635,1,Customer Service
636,5,Product Quality
637,3,Product Quality
638,5,Pricing
639,3,Delivery
640,5,Pricing
641,4,Pricing
642,2,Pricing
643,2,Product Quality
644,3,Pricing
645,1,Product Quality
646,2,Customer Service
647,5,Pricing
648,5,User Experience
649,3,Customer Service
650,2,Customer Service
651,1,User Experience
652,4,Product Quality
653,3,Customer Service
654,2,User Experience
655,1,Product Quality
656,1,Product Quality
657,2,Delivery
658,1,Customer Service
659,3,Product Quality
660,4,User Experience
661,1,Pricing
662,2,Delivery
663,4,Pricing
664,5,Pricing
665,1,Delivery
666,2,Pricing
667,3,Product Quality
668,3,Product Quality
669,4,User Experience
670,3,Pricing
671,2,Customer Service
672,4,Delivery
673,1,User Experience
674,3,Product Quality
675,1,Customer Service
676,5,Pricing
677,1,Product Quality
678,4,Delivery
679,4,User Experience
680,1,Pricing
681,2,User Experience
682,5,Pricing
683,5,Customer Service
684,2,Delivery
685,4,Customer Service
686,4,User Experience
687,1,Delivery
688,1,Product Quality
689,5,Product Quality
690,4,User Experience
691,3,Delivery
692,5,Delivery
693,3,User Experience
694,4,Product Quality
695,1,Customer Service
696,4,User Experience
697,5,User Experience
698,2,Delivery
699,2,Product Quality
700,3,Customer Service
701,2,Product Quality
702,2,User Experience
703,2,Customer Service
704,2,User Experience
705,4,User Experience
706,1,Product Quality
707,1,Product Quality
708,4,User Experience
709,3,User Experience
710,4,Product Quality
711,4,Delivery
712,1,Customer Service
713,5,Pricing
714,2,Customer Service
715,1,Pricing
716,5,Pricing
717,4,Customer Service
718,2,User Experience
719,4,Product Quality
720,1,Product Quality
721,5,Product Quality
722,2,Product Quality
723,3,Pricing
724,2,Delivery
725,3,Customer Service
726,4,Customer Service
727,5,User Experience
728,2,Product Quality
729,2,Delivery
730,5,Product Quality
731,2,Delivery
732,5,Product Quality
733,3,Customer Service
734,4,Product Quality
735,5,Pricing
736,1,Customer Service
737,3,Pricing
738,1,User Experience
739,2,Product Quality
740,5,Pricing
741,5,Pricing
742,1,Product Quality
743,4,Delivery
744,3,Delivery
745,5,Customer Service
746,4,Product Quality
747,5,Product Quality
748,2,Product Quality
749,3,Product Quality
750,2,Customer Service
751,5,Product Quality
752,1,User Experience
753,2,Pricing
754,4,Delivery
755,5,User Experience
756,1,Delivery
757,5,Delivery
758,3,Pricing
759,3,User Experience
760,4,Customer Service
761,3,Customer Service
762,4,Customer Service
763,2,Product Quality
764,4,Product Quality
765,4,Delivery
766,5,Delivery
767,3,Customer Service
768,5,Pricing
769,5,Product Quality
770,4,Delivery
771,5,User Experience
772,3,Customer Service
773,2,User Experience
774,4,Product Quality
775,1,User Experience
776,3,Delivery
777,3,Product Quality
778,3,Customer Service
779,5,Pricing
780,1,Delivery
781,3,Product Quality
782,2,Delivery
783,4,Delivery
784,1,Delivery
785,3,Product Quality
786,2,Delivery
787,1,Customer Service
788,3,Customer Service
789,4,User Experience
790,4,Product Quality
791,2,Delivery
792,4,Pricing
793,4,User Experience
794,4,User Experience
795,5,Delivery
796,4,Customer Service
797,5,Pricing
798,5,User Experience
799,4,Customer Service
800,2,Customer Service
801,5,Customer Service
802,1,Delivery
803,1,Delivery
804,1,Pricing
805,3,Customer Service
806,5,Product Quality
807,5,Customer Service
808,5,User Experience
809,4,Delivery
810,4,Delivery
811,3,User Experience
812,5,User Experience
813,1,Product Quality
814,1,Pricing
815,3,Delivery
816,5,User Experience
817,1,Delivery
818,4,Pricing
819,5,Product Quality
820,2,Product Quality
821,1,Product Quality
822,4,User Experience
823,1,Delivery
824,4,Customer Service
825,1,Pricing
826,4,Customer Service
827,5,User Experience
828,3,Product Quality
829,4,User Experience
830,4,Customer Service
831,1,Delivery
832,2,Customer Service
833,3,Pricing
834,4,Product Quality
835,3,Pricing
836,3,User Experience
837,4,User Experience
838,5,Pricing
839,5,Customer Service
840,4,Customer Service
841,5,Delivery
842,4,Customer Service
843,2,User Experience
844,2,User Experience
845,1,Delivery
846,1,Pricing
847,3,Delivery
848,4,Delivery
849,5,User Experience
850,5,User Experience
851,3,Customer Service
852,2,Pricing
853,1,Pricing
854,4,Pricing
855,5,Customer Service
856,5,Product Quality
857,5,Delivery
858,5,Pricing
859,3,Product Quality
860,2,User Experience
861,4,Pricing
862,5,Product Quality
863,5,Product Quality
864,1,Customer Service
865,1,Customer Service
866,5,Product Quality
867,4,Pricing
868,5,Pricing
869,4,Customer Service
870,1,Customer Service
871,5,Pricing
872,4,Delivery
873,2,Product Quality
874,1,Delivery
875,5,Customer Service
876,4,Pricing
877,5,Delivery
878,3,Pricing
879,2,Product Quality
880,2,Customer Service
881,3,Delivery
882,5,Product Quality
883,5,Product Quality
884,4,Customer Service
885,5,Pricing
886,4,Product Quality
887,1,Delivery
888,5,Pricing
889,2,User Experience
890,1,Delivery
891,2,Product Quality
892,2,Delivery
893,5,Pricing
894,5,Pricing
895,3,User Experience
896,1,Pricing
897,5,Pricing
898,2,Product Quality
899,3,Customer Service
900,2,Product Quality
901,4,Delivery
902,5,Delivery
903,5,Product Quality
904,2,Delivery
905,1,Delivery
906,4,Delivery
907,1,Pricing
908,5,Customer Service
909,3,User Experience
910,5,Product Quality
911,3,Pricing
912,1,User Experience
913,3,Pricing
914,3,Customer Service
915,3,Customer Service
916,4,User Experience
917,4,Customer Service
918,5,Customer Service
919,4,Delivery
920,1,Customer Service
921,3,Product Quality
922,3,User Experience
923,2,Customer Service
924,5,Product Quality
925,3,Customer Service
926,2,Pricing
927,1,User Experience
928,5,Delivery
929,4,Customer Service
930,3,Delivery
931,3,Pricing
932,2,Pricing
933,5,Customer Service
934,3,Product Quality
935,1,User Experience
936,5,User Experience
937,2,Customer Service
938,2,Customer Service
939,1,Delivery
940,5,Customer Service
941,3,Pricing
942,2,Delivery
943,5,Pricing
944,2,Customer Service
945,2,Pricing
946,2,Pricing
947,5,Pricing
948,4,User Experience
949,3,User Experience
950,5,Customer Service
951,2,Delivery
952,4,Delivery
953,3,User Experience
954,3,Delivery
955,1,Delivery
956,5,Pricing
957,1,Product Quality
958,2,Pricing
959,4,Customer Service
960,1,User Experience
961,5,Pricing
962,2,Pricing
963,1,User Experience
964,2,Delivery
965,3,Delivery
966,5,User Experience
967,2,Delivery
968,5,Delivery
969,3,Customer Service
970,1,Delivery
971,4,Delivery
972,3,User Experience
973,5,Product Quality
974,5,Product Quality
975,2,User Experience
976,2,User Experience
977,4,Delivery
978,4,Customer Service
979,3,Customer Service
980,5,Product Quality
981,1,Pricing
982,4,Delivery
983,2,Delivery
984,1,User Experience
985,4,Delivery
986,4,Pricing
987,3,Delivery
988,2,User Experience
989,3,Delivery
990,5,User Experience
991,4,Customer Service
992,2,Delivery
993,4,Delivery
994,3,Pricing
995,2,User Experience
996,4,Product Quality
997,1,Pricing
998,3,User Experience
999,1,Product Quality
1000,3,Product Quality
1001,2,Pricing
1002,1,Delivery
1003,4,Pricing
1004,1,Pricing
1005,5,Product Quality
1006,2,User Experience
1007,2,Customer Service
1008,5,User Experience
1009,4,Product Quality
1010,5,User Experience
1011,5,Delivery
1012,5,Customer Service
1013,2,Delivery
1014,4,Product Quality
1015,1,Customer Service
1016,3,User Experience
1017,4,Product Quality
1018,1,User Experience
1019,2,Delivery
1020,1,Delivery
1021,1,User Experience
1022,4,Product Quality
1023,4,User Experience
1024,2,Customer Service
1025,5,Delivery
1026,3,Delivery
1027,5,Delivery
1028,2,Product Quality
1029,2,User Experience
1030,1,User Experience
1031,2,Customer Service
1032,2,User Experience
1033,1,Product Quality
1034,3,User Experience
1035,3,Pricing
1036,1,User Experience
1037,3,Product Quality
1038,4,Pricing
1039,3,Pricing
1040,3,Customer Service
1041,3,Delivery
1042,2,Delivery
1043,1,User Experience
1044,3,Customer Service
1045,5,Customer Service
1046,3,Product Quality
1047,3,Delivery
1048,2,Customer Service
1049,2,Customer Service
1050,3,User Experience
1051,4,Pricing
1052,4,User Experience
1053,4,Pricing
1054,2,Customer Service
1055,2,Delivery
1056,3,Customer Service
1057,5,User Experience
1058,3,Product Quality
1059,5,Delivery
1060,3,Customer Service
1061,3,Customer Service
1062,1,Customer Service
1063,5,Delivery
1064,2,Customer Service
1065,4,Pricing
1066,2,Product Quality
1067,3,User Experience
1068,3,Product Quality
1069,3,User Experience
1070,1,Pricing
1071,3,User Experience
1072,5,Delivery
1073,1,Product Quality
1074,4,Customer Service
1075,1,Delivery
1076,1,Pricing
1077,2,Delivery
1078,3,Customer Service
1079,4,Pricing
1080,5,Customer Service
1081,5,User Experience
1082,3,Product Quality
1083,5,Product Quality
1084,2,Product Quality
1085,1,Delivery
1086,3,Delivery
1087,1,Delivery
1088,3,Product Quality
1089,1,Delivery
1090,4,User Experience
1091,1,Customer Service
1092,2,Customer Service
1093,4,Pricing
1094,5,Product Quality
1095,1,User Experience
1096,2,Pricing
1097,1,User Experience
1098,2,Pricing
1099,5,Delivery
1100,1,Delivery
1101,4,Pricing
1102,5,User Experience
1103,5,Pricing
1104,5,Pricing
1105,2,User Experience
1106,5,Delivery
1107,5,User Experience
1108,1,Pricing
1109,5,Product Quality
1110,1,Customer Service
1111,3,User Experience
1112,4,Pricing
1113,5,Delivery
1114,4,User Experience
1115,3,Pricing
1116,3,User Experience
1117,2,Customer Service
1118,5,User Experience
1119,2,Pricing
1120,2,Product Quality
1121,2,User Experience
1122,2,Delivery
1123,2,Customer Service
1124,5,Delivery
1125,3,User Experience
1126,2,Delivery
1127,4,Delivery
1128,1,Pricing
1129,2,Pricing
1130,4,Product Quality
1131,5,Product Quality
1132,4,User Experience
1133,5,User Experience
1134,1,Delivery
1135,5,User Experience
1136,1,Delivery
1137,5,User Experience
1138,4,Product Quality
1139,2,User Experience
1140,1,Product Quality
1141,3,Customer Service
1142,1,User Experience
1143,1,User Experience
1144,1,Pricing
1145,2,Pricing
1146,3,Product Quality
1147,4,Customer Service
1148,3,Delivery
1149,2,Customer Service
1150,3,Pricing
1151,2,User Experience
1152,4,Product Quality
1153,3,User Experience
1154,5,Pricing
1155,2,Product Quality
1156,4,Customer Service
1157,3,Product Quality
1158,4,Product Quality
1159,4,Customer Service
1160,5,User Experience
1161,5,Customer Service
1162,1,Product Quality
1163,1,Customer Service
1164,2,Pricing
1165,4,Pricing
1166,2,Product Quality
1167,1,User Experience
1168,4,Pricing
1169,1,User Experience
1170,2,Customer Service
1171,2,Delivery
1172,3,Delivery
1173,2,Customer Service
1174,1,Customer Service
1175,3,User Experience
1176,3,Product Quality
1177,2,Pricing
1178,3,Delivery
1179,5,Pricing
1180,5,Customer Service
1181,3,User Experience
1182,5,User Experience
1183,4,Customer Service
1184,1,Product Quality
1185,3,Product Quality
1186,2,User Experience
1187,5,Product Quality
1188,1,User Experience
1189,4,Product Quality
1190,4,Delivery
1191,1,Delivery
1192,2,User Experience
1193,4,User Experience
1194,1,Customer Service
1195,3,Product Quality
1196,5,Customer Service
1197,1,Product Quality
1198,1,User Experience
1199,2,User Experience
1200,3,Product Quality
1201,1,Pricing
1202,3,Pricing
1203,4,Customer Service
1204,1,Product Quality
1205,4,Delivery
1206,5,Delivery
1207,4,User Experience
1208,3,Pricing
1209,1,Customer Service
1210,5,Customer Service
1211,1,Pricing
1212,2,Customer Service
1213,1,User Experience
1214,5,User Experience
1215,5,Product Quality
1216,3,Delivery
1217,2,Pricing
1218,4,Customer Service
1219,2,User Experience
1220,3,Product Quality
1221,1,Product Quality
1222,2,Pricing
1223,4,Delivery
1224,5,Product Quality
1225,5,Pricing
1226,1,User Experience
1227,5,Delivery
1228,3,User Experience
1229,2,User Experience
1230,2,Delivery
1231,5,Pricing
1232,2,Product Quality
1233,1,Pricing
1234,2,Customer Service
1235,1,Pricing
1236,1,Product Quality
1237,5,Product Quality
1238,4,User Experience
1239,2,Delivery
1240,4,Delivery
1241,4,Customer Service
1242,1,User Experience
1243,5,Customer Service
1244,3,Pricing
1245,2,Product Quality
1246,2,User Experience
1247,4,User Experience
1248,5,Product Quality
1249,1,Delivery
1250,3,Customer Service
1251,5,Product Quality
1252,5,User Experience
1253,4,User Experience
1254,5,User Experience
1255,5,Customer Service
1256,5,User Experience
1257,1,Delivery
1258,4,Pricing
1259,3,Pricing
1260,5,User Experience
1261,3,Product Quality
1262,2,Customer Service
1263,4,Pricing
1264,1,User Experience
1265,3,Customer Service
1266,2,Product Quality
1267,1,Product Quality
1268,5,User Experience
1269,5,Customer Service
1270,4,User Experience
1271,5,Pricing
1272,2,Product Quality
1273,3,Product Quality
1274,3,Pricing
1275,4,Delivery
1276,5,Customer Service
1277,1,Delivery
1278,4,Delivery
1279,5,Customer Service
1280,4,Product Quality
1281,2,Delivery
1282,4,Product Quality
1283,2,Pricing
1284,2,Delivery
1285,4,User Experience
1286,2,Product Quality
1287,2,Customer Service
1288,5,Pricing
1289,1,Delivery
1290,5,Customer Service
1291,4,User Experience
1292,1,Customer Service
1293,4,Product Quality
1294,4,User Experience
1295,2,Product Quality
1296,5,Delivery
1297,3,Pricing
1298,1,Product Quality
1299,3,Product Quality
1300,2,Delivery
1301,2,Customer Service
1302,1,Customer Service
1303,4,Pricing
1304,1,Product Quality
1305,2,Delivery
1306,3,Product Quality
1307,1,Product Quality
1308,2,Delivery
1309,1,User Experience
1310,5,Pricing
1311,1,User Experience
1312,5,Customer Service
1313,5,Pricing
1314,5,Delivery
1315,4,Delivery
1316,4,User Experience
1317,2,User Experience
1318,3,Customer Service
1319,3,User Experience
1320,5,User Experience
1321,4,Delivery
1322,4,User Experience
1323,3,Product Quality
1324,4,Product Quality
1325,4,Product Quality
1326,5,Pricing
1327,3,Customer Service
1328,5,User Experience
1329,1,Delivery
1330,2,Customer Service
1331,3,Pricing
1332,5,Product Quality
1333,4,Product Quality
1334,3,Delivery
1335,1,Pricing
1336,4,Customer Service
1337,4,Customer Service
1338,5,User Experience
1339,4,Delivery
1340,1,User Experience
1341,4,Delivery
1342,3,User Experience
1343,4,Delivery
1344,1,Product Quality
1345,2,Customer Service
1346,4,Customer Service
1347,4,User Experience
1348,2,User Experience
1349,3,Delivery
1350,5,Delivery
1351,5,User Experience
1352,3,Product Quality
1353,1,Product Quality
1354,3,Pricing
1355,5,Delivery
1356,5,Pricing
1357,2,User Experience
1358,3,Delivery
1359,4,User Experience
1360,2,Product Quality
1361,5,User Experience
1362,5,Customer Service
1363,2,Customer Service
1364,2,Delivery
1365,4,Delivery
1366,4,Product Quality
1367,4,Delivery
1368,5,Product Quality
1369,4,User Experience
1370,4,Pricing
1371,4,Product Quality
1372,1,Customer Service
1373,2,Customer Service
1374,3,Pricing
1375,5,Product Quality
1376,4,Pricing
1377,2,User Experience
1378,3,Product Quality
1379,4,Customer Service
1380,5,Delivery
1381,5,Customer Service
1382,5,Product Quality
1383,2,Product Quality
1384,3,Customer Service
1385,2,User Experience
1386,5,Customer Service
1387,2,Delivery
1388,5,Product Quality
1389,4,Delivery
1390,1,Customer Service
1391,1,Product Quality
1392,4,Product Quality
1393,5,Pricing
1394,2,User Experience
1395,3,User Experience
1396,5,Pricing
1397,5,Delivery
1398,2,Customer Service
1399,3,Pricing
1400,4,Product Quality
1401,1,Product Quality
1402,2,Product Quality
1403,5,User Experience
1404,4,Customer Service
1405,2,User Experience
1406,1,Customer Service
1407,4,Product Quality
1408,2,Delivery
1409,2,User Experience
1410,1,Product Quality
1411,3,Pricing
1412,1,Customer Service
1413,2,Customer Service
1414,4,Product Quality
1415,4,Pricing
1416,4,Pricing
1417,3,User Experience
1418,3,Product Quality
1419,5,Product Quality
1420,5,Pricing
1421,4,Customer Service
1422,3,User Experience
1423,1,Pricing
1424,1,Pricing
1425,4,User Experience
1426,3,User Experience
1427,1,Delivery
1428,1,User Experience
1429,2,Product Quality
1430,3,Product Quality
1431,4,User Experience
1432,3,Product Quality
1433,3,Pricing
1434,4,Delivery
1435,2,Pricing
1436,2,Customer Service
1437,4,Product Quality
1438,5,Customer Service
1439,2,Delivery
